Element	English	Norwegian Nynorsk
Thorium	Thorium was discovered by Jöns Jacob Berzelius in 1828, in Stockholm, Sweden.<br><br>Thorium was first observed to be radioactive in 1898, independently, by Polish-French physicist Marie Curie and German chemist Gerhard Carl Schmidt.<br><br>The crystal bar process was discovered by Anton Eduard van Arkel and Jan Hendrik de Boer in 1925 to produce high-purity metallic thorium.	Thorium vart oppdaga av Jöns Jacob Berzelius i 1828 i Stockholm, Sverige.<br><br>Thorium vart fyrst observert å vera radioaktivt i 1898, uavhengig, av den polsk-franske fysikaren Marie Curie og den tyske kjemikaren Gerhard Carl Schmidt.<br><br>Krystallstavprosessen vart oppdaga av Anton Eduard van Arkel og Jan Hendrik de Boer i 1925 for å framstille høgrenleik metallisk thorium.
Protactinium	In 1900, William Crookes isolated protactinium as an intensely radioactive material from uranium<br><br>Protactinium was first identified in 1913 by Kasimir Fajans and Oswald Helmuth Göhring in Germany.<br><br>A more stable isotope of protactinium was discovered in 1917 by Otto Hahn and Lise Meitner at the Kaiser Wilhelm Institute in Berlin.	I 1900 isolerte William Crookes protaktinium som eit intenst radioaktivt materiale frå uran.<br><br>Protaktinium vart fyrst identifisert i 1913 av Kasimir Fajans og Oswald Helmuth Göhring i Tyskland.<br><br>Ein meir stabil isotop av protaktinium vart oppdaga i 1917 av Otto Hahn og Lise Meitner ved Kaiser Wilhelm-instituttet i Berlin.
Uranium	Uranium was discovered in 1789 by the German chemist Martin Heinrich Klaproth.<br><br>In 1841, Eugène-Melchior Péligot isolated the first sample of uranium metal by heating uranium tetrachloride with potassium.<br><br>Antoine Henri Becquerel discovered radioactivity by using uranium in 1896.	Uran vart oppdaga i 1789 av den tyske kjemikaren Martin Heinrich Klaproth.<br><br>I 1841 isolerte Eugène-Melchior Péligot den fyrste prøva av uranmetall ved å varme opp urantetraklorid med kalium.<br><br>Antoine Henri Becquerel oppdaga radioaktivitet ved å bruke uran i 1896.
Neptunium	Neptunium was the first synthetic transuranium element of the actinide series to be discovered.<br><br>Neptunium was first produced by Edwin McMillan and Philip H. Abelson in 1940 at Berkeley Radiation Laboratory of the University of California.<br><br>The team produced the neptunium isotope <sup>239</sup>Np by bombarding uranium with slow moving neutrons.	Neptunium var det fyrste syntetiske transurangrunnstoffet i aktinid-serien som vart oppdaga.<br><br>Neptunium vart fyrst framstilt av Edwin McMillan og Philip H. Abelson i 1940 ved Berkeley Radiation Laboratory ved University of California.<br><br>Laget framstilte neptuniumisotopen <sup>239</sup>Np ved å bombardere uran med saktegåande nøytronar.
Plutonium	Plutonium was first produced in 1940 by Glenn T. Seaborg, Edwin M. McMillan, Joseph W. Kennedy and Arthur Wahl.<br><br>Plutonium-238 was produced by deuteron bombardment of uranium-238 in the 60-inch cyclotron at the University of California, Berkeley.<br><br>The Berkeley team made neptunium-238 which decayed to plutonium-238.	Plutonium vart fyrst framstilt i 1940 av Glenn T. Seaborg, Edwin M. McMillan, Joseph W. Kennedy og Arthur Wahl.<br><br>Plutonium-238 vart framstilt ved deuteronbombardering av uran-238 i 60-tommars syklotronen ved University of California, Berkeley.<br><br>Berkeley-laget laga neptunium-238 som forfalt til plutonium-238.
Americium	Americium-241 was first identified in 1944 by Glenn T. Seaborg, Ralph A. James, Leon O. Morgan and Albert Ghiorso at the metallurgical laboratory at the University of Chicago.<br><br>It was produced by irradiating plutonium with neutrons during the Manhattan Project.<br><br>Americium was first isolated as a pure compound by Burris Cunningham in 1945, at the University of Chicago.	Americium-241 vart fyrst identifisert i 1944 av Glenn T. Seaborg, Ralph A. James, Leon O. Morgan og Albert Ghiorso ved det metallurgiske laboratoriet ved University of Chicago.<br><br>Det vart framstilt ved å bestråle plutonium med nøytronar under Manhattan-prosjektet.<br><br>Americium vart fyrst isolert som eit reint stoff av Burris Cunningham i 1945 ved University of Chicago.
Curium	Curium was discovered by Glenn T. Seaborg, Ralph A. James and Albert Ghiorso in 1944 at the University of California, Berkeley.<br><br>It was produced by bombarding plutonium with alpha particles during the Manhattan Project.<br><br>Curium metal was produced only in 1951 by reduction of curium fluoride with barium.	Curium vart oppdaga av Glenn T. Seaborg, Ralph A. James og Albert Ghiorso i 1944 ved University of California, Berkeley.<br><br>Det vart framstilt ved å bombardere plutonium med alfapartiklar under Manhattan-prosjektet.<br><br>Curiummetall vart framstilt berre i 1951 ved reduksjon av curiumfluorid med barium.
Berkelium	Berkelium was discovered by Glenn T. Seaborg, Albert Ghiorso and Stanley G. Thompson in 1949 at the University of California, Berkeley.<br><br>It was produced by the bombardment of americium with alpha particles.<br><br>Berkelium was isolated in greater quantities for the first time by Burris Cunningham and Stanley Thompson in 1958.	Berkelium vart oppdaga av Glenn T. Seaborg, Albert Ghiorso og Stanley G. Thompson i 1949 ved University of California, Berkeley.<br><br>Det vart framstilt ved bombardering av americium med alfapartiklar.<br><br>Berkelium vart isolert i større mengder for fyrste gong av Burris Cunningham og Stanley Thompson i 1958.
Californium	Californium was discovered by Stanley G. Thompson, Kenneth Street, Jr., Albert Ghiorso and Glenn T. Seaborg in 1950 at the University of California, Berkeley.<br><br>It was produced by the bombardment of curium with alpha particles.<br><br>Californium was isolated in macro quantities for the first time by Burris Cunningham and Stanley Thompson in 1958.	Californium vart oppdaga av Stanley G. Thompson, Kenneth Street Jr., Albert Ghiorso og Glenn T. Seaborg i 1950 ved University of California, Berkeley.<br><br>Det vart framstilt ved bombardering av curium med alfapartiklar.<br><br>Californium vart isolert i makromengder for fyrste gong av Burris Cunningham og Stanley Thompson i 1958.
Einsteinium	Einsteinium was discovered as a component of the debris of the first hydrogen bomb explosion in 1952.<br><br>It was identified by Albert Ghiorso and co-workers at the University of California, Berkeley in collaboration with the Argonne and Los Alamos National Laboratories, in the fallout from the Ivy Mike nuclear test.<br><br>The new element was produced by the nuclear explosion in miniscule amounts by the addition of 15 neutrons to uranium-238.	Einsteinium vart oppdaga som ein komponent i restane frå den fyrste hydrogenbombeeksplosjonen i 1952.<br><br>Det vart identifisert av Albert Ghiorso og medarbeidarar ved University of California, Berkeley i samarbeid med Argonne og Los Alamos National Laboratories, i nedfall frå Ivy Mike-kjerneforsøket.<br><br>Det nye grunnstoffet vart framstilt av kjernefysikkeksplosjonen i mikroskopiske mengder ved å tilsetje 15 nøytronar til uran-238.
Fermium	Fermium was discovered as a component of the debris of the first hydrogen bomb explosion in 1952.<br><br>It was identified by Albert Ghiorso and co-workers at the University of California, Berkeley in collaboration with the Argonne and Los Alamos National Laboratories, in the fallout from the Ivy Mike nuclear test.<br><br>The new element was produced by the nuclear fission of 17 neutrons with uranium-238.	Fermium vart oppdaga som ein komponent i restane frå den fyrste hydrogenbombeeksplosjonen i 1952.<br><br>Det vart identifisert av Albert Ghiorso og medarbeidarar ved University of California, Berkeley i samarbeid med Argonne og Los Alamos National Laboratories, i nedfall frå Ivy Mike-kjerneforsøket.<br><br>Det nye grunnstoffet vart framstilt ved kjernefisjon av 17 nøytronar med uran-238.
Mendelevium	Mendelevium was discovered by Albert Ghiorso, Glenn T. Seaborg, Gregory R. Choppin, Bernard G. Harvey and Stanley G. Thompson in 1955 at the University of California, Berkeley.<br><br>It was produced by the bombardment of einsteinium with helium.<br><br>Mendelevium was identified by chemical analysis in an ion exchange experiment.	Mendelevium vart oppdaga av Albert Ghiorso, Glenn T. Seaborg, Gregory R. Choppin, Bernard G. Harvey og Stanley G. Thompson i 1955 ved University of California, Berkeley.<br><br>Det vart framstilt ved bombardering av einsteinium med helium.<br><br>Mendelevium vart identifisert ved kjemisk analyse i eit ionbytteeksperiment.
Nobelium	Nobelium was discovered by Albert Ghiorso, Glenn T. Seaborg, John R. Walton and Torbjørn Sikkeland in 1958 at the University of California, Berkeley.<br><br>It was produced by the bombardment of curium with carbon atoms.<br><br>It was correctly identified in 1966 by scientists at the Flerov Laboratory of Nuclear Reactions in Dubna, Soviet Union.	Nobelium vart oppdaga av Albert Ghiorso, Glenn T. Seaborg, John R. Walton og Torbjørn Sikkeland i 1958 ved University of California, Berkeley.<br><br>Det vart framstilt ved bombardering av curium med karbonatomar.<br><br>Det vart korrekt identifisert i 1966 av forskarar ved Flerov Laboratory of Nuclear Reactions i Dubna, Sovjetunionen.
Lawrencium	Lawrencium was discovered by Albert Ghiorso, Torbjørn Sikkeland, Almon Larsh and Robert M. Latimer in 1961 at the University of California, Berkeley.<br><br>It was produced by the bombardment of californium with boron atoms.<br><br>Lawrencium was the last member of the actinide series to be discovered.	Lawrencium vart oppdaga av Albert Ghiorso, Torbjørn Sikkeland, Almon Larsh og Robert M. Latimer i 1961 ved University of California, Berkeley.<br><br>Det vart framstilt ved bombardering av californium med boratomar.<br><br>Lawrencium var det siste medlemmet av aktinid-serien som vart oppdaga.
Rutherfordium	Rutherfordium was reportedly first detected in 1964 at the Joint Institute of Nuclear Research at Dubna.<br><br>The element was synthesized by Albert Ghiorso, Matti Nurmia, James Andrew Harris, Kari Eskola and Pirkko Eskola in 1968 at the University of California, Berkeley.<br><br>It was produced by the bombardment of californium with carbon atoms.	Rutherfordium vart visstnok fyrst påviste i 1964 ved Joint Institute of Nuclear Research i Dubna.<br><br>Grunnstoffet vart syntetisert av Albert Ghiorso, Matti Nurmia, James Andrew Harris, Kari Eskola og Pirkko Eskola i 1968 ved University of California, Berkeley.<br><br>Det vart framstilt ved bombardering av californium med karbonatomar.
Dubnium	Dubnium was reportedly first discovered in 1968 at the Joint Institute for Nuclear Research at Dubna.<br><br>Researchers there bombarded an americium-243 target with neon-22 ions.<br><br>In the same year, a team led by Albert Ghiorso working at the University of California, Berkeley conclusively synthesized the element by bombarding a californium-249 target with nitrogen-15 ions.	Dubnium vart visstnok fyrst oppdaga i 1968 ved Joint Institute for Nuclear Research i Dubna.<br><br>Forskarar der bombarderte eit americium-243-mål med neon-22-ionar.<br><br>Same år syntetiserte eit lag leia av Albert Ghiorso ved University of California, Berkeley grunnstoffet ved å bombardere eit californium-249-mål med nitrogen-15-ionar.
Seaborgium	Scientists working at the Joint Institute for Nuclear Research in Dubna, USSR reported their discovery of element 106 in June 1974.<br><br>Synthesis was also reported in September 1974 at the Lawrence Berkeley Laboratory by the workers of the Lawrence Berkeley and Livermore Laboratories led by Albert Ghiorso and E. Kenneth Hulet.<br><br>It was produced by collisions of californium-249 with oxygen atoms.	Forskarar som arbeidde ved Joint Institute for Nuclear Research i Dubna, USSR rapporterte oppdaginga si av grunnstoff 106 i juni 1974.<br><br>Syntese vart òg rapportert i september 1974 ved Lawrence Berkeley Laboratory av arbeidarar frå Lawrence Berkeley og Livermore Laboratories leia av Albert Ghiorso og E. Kenneth Hulet.<br><br>Det vart framstilt ved kollisjonar av californium-249 med oksygenatomar.
Bohrium	Bohrium was first convincingly synthesized in 1981 by a German research team led by Peter Armbruster and Gottfried Münzenberg at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt.<br><br>The team bombarded a target of bismuth-209 with accelerated nuclei of chromium-54 to produce 5 atoms of the isotope bohrium-262.	Bohrium vart fyrst overtydande syntetisert i 1981 av eit tysk forskingslag leia av Peter Armbruster og Gottfried Münzenberg ved Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) i Darmstadt.<br><br>Laget bombarderte eit vismut-209-mål med akselererte kjerner av krom-54 for å framstille 5 atom av isotopen bohrium-262.
Hassium	Hassium was first synthesized in 1984 by a German research team led by Peter Armbruster and Gottfried Münzenberg at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt.<br><br>The team bombarded a target of lead-208 with accelerated nuclei of iron-58 to produce 3 atoms of the isotope hassium-265.	Hassium vart fyrst syntetisert i 1984 av eit tysk forskingslag leia av Peter Armbruster og Gottfried Münzenberg ved Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) i Darmstadt.<br><br>Laget bombarderte eit bly-208-mål med akselererte kjerner av jern-58 for å framstille 3 atom av isotopen hassium-265.
